Product Name,Disc,Harga awal,Harga akhir
Collared Crop Blouse with Textured,-10%,IDR 229.900,"IDR 206.910
"
Long Sleeve Printed Pyjama Set,-30%,IDR 279.900,"IDR 195.930
"
Tied Waist Long Sleeve Sweatshirt,-50%,IDR 179.900,"IDR 89.950
"
Button Front Halter Mini Dress,-70%,IDR 279.900,"IDR 83.970
"
Graphic Long Sleeve Crop Sweatshirt,-38%,IDR 179.900,"IDR 109.900
"
Graphic Long Sleeve Crop Sweatshirt,-38%,IDR 179.900,"IDR 109.900
"
Graphic Crew Neck T-Shirt,None,None,None
Graphic Crew Neck T-Shirt,None,None,None
Graphic V-Neck T-Shirt,None,None,None
Graphic Crew Neck T-Shirt,None,None,None
Graphic Short Sleeve Crop T-Shirt,None,None,None
Full Print Short Sleeve Crop T-Shirt,None,None,None
Oversized Denim Jacket,-10%,IDR 459.900,"IDR 413.910
"
Pleated Mini Skirt,-30%,IDR 159.900,"IDR 111.930
"
Pleated Mini Skirt,-30%,IDR 159.900,"IDR 111.930
"
Printed Lounge Shorts,-30%,IDR 129.900,"IDR 90.930
"
